timestamp,city,store_id,sale_number,sale_amount,associate
2017-09-15T06:17:10,Alexandrabury,18,1043,15.0,Stacey Daniels
2017-09-11T16:16:30,East Jesusport,2,1729,396.0,Haley Pitts
2017-07-12T15:00:18,New Douglasmouth,13,2028,-78.0,Carlos French
2017-07-29T13:04:55,West Carriemouth,19,1245,1149.0,Jeffrey Ford
2017-11-07T21:35:58,Port Timothy,1,2365,724.0,Christopher West
2017-05-24T18:44:03,Katherinestad,18,2764,119.0,Jennifer Lee
2017-08-07T21:07:08,Lake Richard,4,2574,1387.0,Kayla Mercado
2017-09-26T03:22:02,Port Mackenziemouth,5,2155,1599.0,Monique Martinez
2017-10-18T07:28:37,North Linda,6,893,16.0,Johnny Turner
2017-02-14T03:12:13,New Timothy,17,2986,1487.0,Tony Lynch
2017-04-08T22:27:45,North Kyle,5,2944,537.0,Ashley Taylor
2017-08-05T07:06:20,North Georgemouth,1,1180,-391.0,George Andrade
2017-06-17T09:52:00,Port Coryborough,3,1455,958.0,Laurie Carr DVM
2017-01-20T04:07:32,New Katherineville,8,1654,-89.0,Patricia Peterson
2017-12-05T12:42:27,Tinafort,10,1324,-329.0,George Collins
2017-06-11T01:49:43,Lauraborough,6,2998,1201.0,Calvin Soto
2017-05-01T00:36:34,Janiceview,1,820,443.0,Linda Snyder
2017-02-09T20:11:03,Beniteztown,3,1186,627.0,Mary Luna
2017-07-17T04:01:26,Port Bob,18,457,926.0,James Turner
2017-12-29T18:47:30,Nelsonfort,7,1781,146.0,Jennifer Mcdonald
2017-07-23T03:03:11,Davidstad,13,2689,976.0,Christopher Ortiz
2017-07-16T01:01:02,West Kenneth,2,2063,1096.0,Herbert Morris
2017-11-10T04:36:04,New Emma,13,1995,56.0,Christopher Castillo
2017-02-18T16:14:19,Riceport,9,1778,53.0,Alexis Boone
2017-12-29T18:47:30,Nelsonfort,7,1781,146.0,Jennifer Mcdonald
2017-10-15T21:27:21,Jamesburgh,4,2102,-358.0,James Thompson
2017-12-31T23:48:08,West Michaelbury,18,366,-167.0,Sarah Lewis
2017-06-09T22:48:39,Danielsmouth,10,708,1134.0,Pamela Potts
2017-11-05T14:35:35,Timchester,6,2292,-9.0,Michael Johnson
