timestamp,city,store_id,sale_number,sale_amount,associate
2017-02-19T17:00:00,Stephanieport,11,2162.0,247.0,Jenna White
2017-02-19T22:00:00,Gutierreztown,11,,1586.0,Laura Massey
2017-02-20T01:00:00,Colemanside,3,2858.0,631.0,Jacqueline Benson
2017-02-20T08:00:00,,1,1080.0,-161.0,Tina Martin
2017-02-20T13:00:00,,1,358.0,1414.0,David Khan
2017-02-20T21:00:00,South Jackie,7,2560.0,869.0,Erika Townsend
2017-02-21T03:00:00,Amandafurt,5,695.0,1273.0,Anne Wells
2017-02-21T10:00:00,East Lisa,9,1911.0,1584.0,Linda Atkinson
2017-02-21T11:00:00,Lake Jason,3,999.0,579.0,Shannon House
2017-02-21T13:00:00,Williambury,13,43.0,1399.0,Thomas Martin
2017-02-21T15:00:00,Stevenhaven,11,1425.0,1537.0,Terry Larsen
2017-02-21T21:00:00,Brandyberg,12,789.0,1461.0,Beth Christensen
2017-02-22T05:00:00,Port Seanborough,10,1689.0,1192.0,Amanda Palmer
2017-02-22T08:00:00,Jacquelineview,7,41.0,1171.0,Joyce Terry
2017-02-22T10:00:00,Mendezside,14,1571.0,282.0,Jeffrey Bush
2017-02-22T16:00:00,West Sherry,7,,1027.0,Marc Butler
2017-02-22T18:00:00,West Deanna,5,344.0,-104.0,
2017-02-22T19:00:00,East Carol,16,1773.0,748.0,Felicia Warren
2017-02-23T01:00:00,Cruzport,17,,434.0,Marissa Rodriguez
2017-02-23T05:00:00,Timothyhaven,5,1190.0,1213.0,Nicholas Carrillo
2017-02-23T08:00:00,East Henryland,3,2444.0,-338.0,Mckenzie Martinez
2017-02-23T13:00:00,North Saraview,12,2197.0,386.0,Steven Walker
2017-02-23T17:00:00,Beckland,10,1301.0,161.0,Megan Bonilla
2017-02-23T21:00:00,Lake Justinfort,7,2474.0,1093.0,
2017-02-24T06:00:00,Torresstad,17,2350.0,-207.0,Stephanie Perez
2017-02-24T07:00:00,North Shane,8,1337.0,1481.0,Aaron Mcmahon
2017-02-24T13:00:00,,7,1799.0,1562.0,Meghan Walker
2017-02-24T20:00:00,,7,2190.0,-45.0,John Blake
2017-02-25T01:00:00,Lake Kennethfort,15,2500.0,1434.0,Michele Flynn
2017-02-25T04:00:00,Gonzalestown,15,2004.0,1104.0,Jose Powell
2017-02-25T07:00:00,East Dean,16,2394.0,314.0,Hector Watts
2017-02-25T15:00:00,East Jennifer,1,1593.0,1516.0,Victoria Lindsey
2017-02-25T20:00:00,Terryside,3,446.0,525.0,Mallory Henson
2017-02-26T02:00:00,Paulhaven,12,1358.0,853.0,Michael Delacruz
2017-02-26T06:00:00,New Amandatown,18,2327.0,167.0,James Thomas
2017-02-26T11:00:00,,11,631.0,229.0,Holly Rhodes
2017-02-26T20:00:00,New James,15,786.0,1145.0,David Pineda
2017-02-27T05:00:00,New Susanbury,19,765.0,244.0,Robert Moore
2017-02-27T13:00:00,Port Tinaport,1,1393.0,134.0,Mr. Joshua Benson
2017-02-27T18:00:00,Lake Ericafort,12,2633.0,1062.0,Benjamin Quinn
2017-02-27T23:00:00,Nancyhaven,4,1512.0,1538.0,Paul White
2017-02-28T04:00:00,South John,3,1156.0,1204.0,Sheila Dixon
2017-02-28T10:00:00,New Kimton,4,,648.0,Michelle Kim
2017-02-28T13:00:00,Lake Lauren,19,289.0,995.0,Pamela Rose
2017-02-28T19:00:00,Kellimouth,6,,7.0,Kelly Page
2017-02-28T22:00:00,Lake Jeffreyborough,6,,819.0,Hannah Graves
2017-03-01T02:00:00,,1,508.0,597.0,Brenda Peck
2017-03-01T04:00:00,Pittmanberg,1,957.0,1598.0,Anthony Dominguez
2017-03-01T10:00:00,Kyleland,8,2424.0,634.0,Zachary Robbins
2017-03-01T14:00:00,North Daniellefort,2,1656.0,294.0,Emily Taylor
2017-03-01T20:00:00,Port Tracey,12,2072.0,726.0,Mark Garcia
2017-03-01T23:00:00,South Stevenberg,2,702.0,1391.0,William Herrera
2017-03-02T07:00:00,Deniseborough,18,514.0,817.0,Patricia Smith
2017-03-02T09:00:00,West Jamesbury,8,87.0,1146.0,Anna Kemp DVM
2017-03-02T18:00:00,East Williammouth,15,,362.0,Tracy Brooks
2017-03-02T22:00:00,Watkinsport,5,,378.0,Joseph Miller
2017-03-03T03:00:00,,7,1697.0,894.0,Dr. Carol Compton
2017-03-03T12:00:00,Lake Kimberlyview,8,1485.0,1596.0,William Cook
2017-03-03T18:00:00,South Michael,16,801.0,1488.0,Laurie Schmidt
2017-03-04T00:00:00,West Arianafort,12,478.0,860.0,
2017-03-04T07:00:00,Keithfort,10,,910.0,Steven Smith
2017-03-04T10:00:00,Jaclynmouth,15,756.0,-418.0,Ryan Lewis
2017-03-04T13:00:00,New David,5,2243.0,-221.0,Jennifer Lowery
2017-03-04T18:00:00,Brownmouth,19,250.0,-5.0,Leah Tapia
2017-03-05T03:00:00,East Justinshire,9,1998.0,219.0,Richard Foley
2017-03-05T06:00:00,Morganmouth,17,2734.0,-473.0,Carrie Richardson
2017-03-05T07:00:00,East Nathanton,14,1558.0,-317.0,Phillip Jimenez
2017-03-05T14:00:00,,5,1196.0,249.0,Carol Cannon
2017-03-05T21:00:00,Lindseyborough,4,,458.0,Renee Cain
2017-03-06T01:00:00,North Julie,12,369.0,1194.0,
2017-03-06T09:00:00,South Alexandra,10,2505.0,499.0,Joann Anderson
2017-03-06T12:00:00,West Tasha,1,2180.0,1435.0,Denise Sutton
2017-03-06T16:00:00,Johnsonhaven,2,2416.0,1034.0,Melissa Bradley
2017-03-07T01:00:00,Kaylaton,12,1898.0,-282.0,Rodney Brennan
2017-03-07T06:00:00,Hollowayshire,9,,-275.0,
2017-03-07T09:00:00,New Gary,5,445.0,40.0,Matthew Jones
2017-03-07T17:00:00,Torresburgh,10,2469.0,67.0,
2017-03-08T01:00:00,New Kevinberg,3,1345.0,-14.0,Abigail Rosario
2017-03-08T04:00:00,Port Timothyville,7,2011.0,860.0,Calvin Freeman
2017-03-08T10:00:00,Brendahaven,3,1070.0,332.0,Jasmine Payne
2017-03-08T14:00:00,South Kurtville,14,2217.0,-174.0,Rhonda Reyes
2017-03-08T20:00:00,Grantbury,9,,571.0,Valerie Roberts
2017-03-09T04:00:00,Ortizville,19,2507.0,-77.0,Rachel Valentine
2017-03-09T09:00:00,New Janetland,3,2332.0,199.0,Maria Harrison
2017-03-09T18:00:00,Williston,14,1916.0,386.0,Albert Nguyen
2017-03-09T19:00:00,Lake Sarahtown,16,2211.0,815.0,
2017-03-10T03:00:00,Brianchester,16,683.0,1329.0,Joseph Grant
2017-03-10T06:00:00,Penaview,12,2664.0,462.0,
2017-03-10T15:00:00,Williamsmouth,5,1882.0,79.0,Jennifer Marsh
2017-03-10T22:00:00,North Paulfurt,17,2789.0,-414.0,Elizabeth Sanchez
2017-03-11T03:00:00,East Annetteside,19,1870.0,379.0,Erika Perry
2017-03-11T08:00:00,Murphyville,13,391.0,322.0,Paula Patel
2017-03-11T13:00:00,,8,1375.0,1332.0,
2017-03-11T17:00:00,Longfort,10,936.0,657.0,Scott Hall
2017-03-11T20:00:00,North Lukeside,18,785.0,-328.0,Janet Harris
2017-03-12T02:00:00,East Juliebury,14,2732.0,-365.0,Jennifer Harper
2017-03-12T07:00:00,Davidside,5,,1316.0,David Garcia
2017-03-12T15:00:00,Wilsonstad,1,1707.0,1211.0,Stephen Ball
2017-03-12T22:00:00,West Jessicaport,18,62.0,-432.0,Aaron Diaz
2017-03-13T04:00:00,Masonhaven,6,62.0,-467.0,Hector Taylor
2017-03-13T13:00:00,Traciburgh,16,594.0,293.0,James Gay
2017-03-13T21:00:00,West Kirkchester,14,2988.0,451.0,Charles Thomas
2017-03-14T05:00:00,Ethanmouth,13,715.0,1008.0,Jesse Patterson
2017-03-14T07:00:00,Lauramouth,18,1579.0,1446.0,Steven Rodriguez
